child, کودک, kudak
man, مرد, mard
woman, زن, zan
family, خانواده, khanevadeh
town, شهر, shahr
country, کشور, keshvar
world, جهان, jahan
house, خانه, khane
car, ماشین, mashin
street, خیابان, khiaban
shop, فروشگاه, forushgah
door, در, dar
table, میز, jadval
chair, 	صندلی, sandali
window, پنجره, panjereh
newspaper, روزنامه, ruzname
book, کتاب, ketab
pen, خودکار, khodkar
bag, کیف, kif
rucksack, ساک, sak
love, عشق, eshgh
flower, گل, gol
ball, توپ, tup
work, کار, kar
vacation, مرخیص, morakhasi
passport, گذرنامه, gozarnameh
language, زبان, zaban
question, سوال, soal
answer, جواب دادن, javab dadan
beginning, شروع, aghaz
end, پایان, payan
